Subject_new,body_clean,manual_label,topic_embed,topic_label
CarSmart Price Quote,kevin hyatt br  date mon aug br carsmart vehicle price quotebr vehicle ford fbr request brbr thank using carsmart request vehicle price quote beenbr received currently processed expect contacted abr carsmart dealership representative business hours quote forbr vehicle requestedbrbrif prefer contact dealership directly number tobr insure receive carsmart price contacting thebr dealership directly sure ask specifically carsmartbr representative identify carsmart customerbrbr dealership joe myers fordbr address northwest freeway houston tx brbr carsmart rep danny olivebr phone br email salesjoemyersfordcombr br satisfaction important require assistance ifbr hear selling dealer contact carsmart customerbr service department email customerservicecarsmartcom phone atbr thank selecting carsmartbrbrbr brbrfor complete car care park garagebr use garage track cars history receive service reminders repairbr estimates directions maps weather forecasts read safety reportsbr check recall notices shop insurance atbr carsmartcoms garage complete auto garage internet forbr things automotive park car href targetnewbherebabrbrbr,Meeting / Scheduling,0,Meeting Feedback
First revision,heres redline previous draft lots holes large significant commercial issues open fces input language used im finished project managementscheduling stuff wanted chance look forthwith scott ive printed emails incorporate input dont know want fuelcells draft im going working kay,Project Update,0,Meeting Feedback
FW Kiodex Premeeting ROOM CHANGE TO EB,robbie pateder project manager working tech regards michael original message pateder robbie sent wednesday june guadarrama michael subject fw kiodex premeeting room change eb original message moorer torrey sent tuesday june pm pateder robbie cass robert b denny jennifer meredith kevin subject fw kiodex premeeting apologies location changed eb original message moorer torrey sent tuesday june pm pateder robbie meredith kevin denny jennifer cass robert b subject kiodex premeeting hi guys reserved eb wednesday mapping information requirements kiodex plan attending let jennifer rosado know scheduling conflicts,Meeting / Scheduling,0,Meeting Feedback
eThink About It,join cindy olson executive vice president human resources community affairs tuesday february houston time cindy conduct openmike discussion enrons latest prc process remember make live event visit espeak site post questions ethinkenroncom,Other / Uncategorized,0,Meeting Feedback
Training for Sabrae,like set half day training sessions sabrae zajac starting week like spend time volume management transportation gas control trading support week let know group available best timeday starts week monday april th,Legal / Compliance,0,Meeting Feedback
updated,original message woods trevor sent tuesday october taylor michael e subject inline attachment follows oenronounacnrecipientscntwoods date wednesday august gmt subject northwestern steel wire david lon nox bankcruptcy review inline attachment follows oenronounacnrecipientscntwoods date thursday september gmt subject grandfathered facility montgomery county nsr need cap trade involved current plan inside fence clean havent seen real opp create allowances power plant unregulated year mw program year looking control tech inline attachment follows oenronounacnrecipientscntwoods date wednesday june gmt subject voc inline attachment follows oenronounacnrecipientscntwoods date wednesday august gmt subject air products chemicals steven morrison tpy nox inline attachment follows oenronounacnrecipientscntwoods date friday august gmt subject royal baths mfg william munoz tpy nox msg inline attachment follows oenronounacnrecipientscntwoods date tuesday september gmt subject inline attachment follows oenronounacnrecipientscntwoods date friday june gmt subject seperate plants quest seperation program ton need allowances inline attachment follows oenronounacnrecipientscntwoods date thursday june gmt subject inline attachment follows oenronounacnrecipientscntwoods date monday august gmt subject matt paul emissions dte koch traded emissions jeremy taylor coal big focused efforts coal focused year months paulmdteenergycom mailtopaulmdteenergycom inline attachment follows oenronounacnrecipientscntwoods date friday august gmt subject doing year sure whos going stuff year inline attachment follows oenronounacnrecipientscntwoods date friday june gmt subject willhavesomeonegetincontactwithme mike t inline attachment follows oenronounacnrecipientscntwoods date friday june gmt subject wrong number inline attachment follows oenronounacnrecipientscntwoods date thursday august gmt subject henry platt deals emissions registered bunch credits dercs permit rule comperssion hp alot smaller units monday inline attachment follows oenronounacnrecipientscntwoods date wednesday june gmt subject tvoc t nox exp inline attachment follows oenronounacnrecipientscntwoods date wednesday june gmt subject nox msg inline attachment follows oenronounacnrecipientscntwoods date friday july gmt subject july,Legal / Compliance,0,Meeting Feedback
UC CSU Update,briefly hearing planned focus uc issues postponed attached discussion concerning impact energy service providers turning customers dwrutility service federal judge scheduled uccsu enron energy services hearing april th uc requested immediate review versus procedural days schedule schedule reflects procedural answer information forwarded marty sundehouees enron energy services mike d smith dan leffhoueesees marty sundehoueesees jeff messinahoueesees harry kingerskinaenronenron vicki sharphoueesees robert c williamsenronenronxgate peggy mahoneyhoueesees james d steffesnaenronenron sandra mccubbinnaenronenron cc subject thursday hearing sandy sounds like going budget committee hearing thursday discuss dwr procurement effect marketers returning customers utility service looks like asked provide testimony customer specific issues mike day right person provide testimony needed ill pass details mds,Meeting / Scheduling,0,Meeting Feedback
How are you feeling,guess theres sort fine datingsounds like load bs whats aol messenger enron capital trade resources corp lisa gillette susan m scotthouectect cc subject feeling does mean does cost money date outside company susan m scott lisa gillettehouectect cc subject feeling definitely ted actionsserved purpose just feel rotten reiterated ass iswas actually said intercompany date bc costs money does date told good thing got enron capital trade resources corp lisa gillette susan m scotthouectect cc subject feeling ted actions susan m scott lisa gillettehouectect cc subject feeling feel okayjust regretting actions night oh life goes enron capital trade resources corp lisa gillette susan m scotthouectect cc subject feeling sue did feel morning doing embedded stdolelink embedded stdolelink embedded stdolelink embedded stdolelink,Finance / Budget,0,Meeting Feedback
Fwd Why ladies are the best,forwarded judy hernandezhouect pm maria sandoval pm chantelle villanuevahouectect elizabeth sotohouectect melissa rodriguezhouectect judy hernandezhouectect andrea r guillenhouectect pamela sonnierhouectect cc subject fwd ladies best forwarded maria sandovalhouect pm brenda barredaenrondevelopment pm buddies iracema hernandezcorpenronenron cc subject fwd ladies best forwarded brenda barredaenrondevelopment pm sara carrizal scarrizalyahoocom pm martha arriola marriolayorkgrpcom sheritascottenronnet lnmarinoemailmsncom cc subject fwd ladies best note forwarded message attached yahoo yahoo mail free email access  xapparentlyto scarrizalyahoocom webmailyahoocom received flawhotmailcom helo hotmailcom mtamailyahoocom smtp jul pdt received qmail invoked uid jul messageid qmailhotmailcom cc recipient list shown received   wed jul pdt xoriginatingip christina sanchez cmariehotmailcom subject ladies best date wed jul cdt mimeversion contenttype textplain formatdflowed contentlength parra eli parraeepenergycom gracehotmailcom gracehotmailcom cmariehotmailcom cmariehotmailcom lopez lorely lopezlepenergycom pinales nancy pinalesnepenergycom la garza marylou delagarzamepenergycom subject fw ladies best date wed jul chicks rule got titanic scare male bosses mysterious gynecological disorder excuses weve lusted cartoon character central figure computer game taxis stop dont look like frog blender dancing fashion faux pas make rival speedo dont fart amuse forget shave know congratulate teammate touching butt reach make sure privates ability dress talk people opposite sex having picture naked marry years younger aware look like idiot times chocolate really solve problems regret piercing ears fully assess person just looking shoes send bright women know make day email files transmitted el paso energy corporation confidential intended solely use individual entity addressed received email error notify sender private free email msn hotmail ,HR / Personal,0,Meeting Feedback
Final Global Products Notification,attached enron global markets global products trading notification memo day cumulative loss june office chairman enron global markets responsible printing hard copy memo signing returning hard copy chris abel forward rac obtain signature thank,HR / Personal,0,Meeting Feedback
