Subject,Body,manual_label
Team alignment discussion,"Just confirming that our regular meeting is still happening on Friday. Please check your availability.

Thanks!",Meeting / Scheduling
Calendar conflict,"Attaching a revised calendar invite for next week's meeting with legal and finance.

Let me know if that works.",Meeting / Scheduling
Calendar conflict,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.

Thanks!",Meeting / Scheduling
Calendar conflict,Attaching a revised calendar invite for next week's meeting with legal and finance.,Meeting / Scheduling
Meeting moved,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.

Let me know if that works.",Meeting / Scheduling
Calendar conflict,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.

Thoughts?",Meeting / Scheduling
Team alignment discussion,"Let's aim for a quick touch base before the end of day. Just 15 minutes to align.

Thoughts?",Meeting / Scheduling
Rescheduling this week's sync,"Attaching a revised calendar invite for next week's meeting with legal and finance.

Thoughts?",Meeting / Scheduling
Calendar conflict,Let's aim for a quick touch base before the end of day. Just 15 minutes to align.,Meeting / Scheduling
Follow-up: Tuesday meeting,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.

Thoughts?",Meeting / Scheduling
Meeting moved,"Attaching a revised calendar invite for next week's meeting with legal and finance.

Let me know if that works.",Meeting / Scheduling
Meeting moved,"Let's aim for a quick touch base before the end of day. Just 15 minutes to align.

Thoughts?",Meeting / Scheduling
Team alignment discussion,"Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.

Thanks!",Meeting / Scheduling
Meeting moved,"Let's aim for a quick touch base before the end of day. Just 15 minutes to align.

Let me know if that works.",Meeting / Scheduling
Rescheduling this week's sync,"Attaching a revised calendar invite for next week's meeting with legal and finance.

Thanks!",Meeting / Scheduling
Rescheduling this week's sync,Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.,Meeting / Scheduling
Meeting moved,Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.,Meeting / Scheduling
Calendar conflict,"Just confirming that our regular meeting is still happening on Friday. Please check your availability.

Talk soon.",Meeting / Scheduling
Meeting moved,"Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.

Thoughts?",Meeting / Scheduling
Meeting moved,Attaching a revised calendar invite for next week's meeting with legal and finance.,Meeting / Scheduling
Meeting moved,"Let's aim for a quick touch base before the end of day. Just 15 minutes to align.

Talk soon.",Meeting / Scheduling
Meeting moved,"Just confirming that our regular meeting is still happening on Friday. Please check your availability.

Let me know if that works.",Meeting / Scheduling
Team alignment discussion,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.

Let me know if that works.",Meeting / Scheduling
Meeting moved,"Just confirming that our regular meeting is still happening on Friday. Please check your availability.

Talk soon.",Meeting / Scheduling
Rescheduling this week's sync,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.

Let me know if that works.",Meeting / Scheduling
Follow-up: Tuesday meeting,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.

Thanks!",Meeting / Scheduling
Meeting moved,"Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.

Thanks!",Meeting / Scheduling
Rescheduling this week's sync,"Just confirming that our regular meeting is still happening on Friday. Please check your availability.

Thoughts?",Meeting / Scheduling
Rescheduling this week's sync,"Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.

Talk soon.",Meeting / Scheduling
Rescheduling this week's sync,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.

Thoughts?",Meeting / Scheduling
Team alignment discussion,"Let's aim for a quick touch base before the end of day. Just 15 minutes to align.

Thanks!",Meeting / Scheduling
Rescheduling this week's sync,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.",Meeting / Scheduling
Team alignment discussion,"Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.

Let me know if that works.",Meeting / Scheduling
Calendar conflict,"Let's aim for a quick touch base before the end of day. Just 15 minutes to align.

Let me know if that works.",Meeting / Scheduling
Follow-up: Tuesday meeting,Let's aim for a quick touch base before the end of day. Just 15 minutes to align.,Meeting / Scheduling
Team alignment discussion,"Let's aim for a quick touch base before the end of day. Just 15 minutes to align.

Talk soon.",Meeting / Scheduling
Rescheduling this week's sync,"Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.

Let me know if that works.",Meeting / Scheduling
Rescheduling this week's sync,"Let's aim for a quick touch base before the end of day. Just 15 minutes to align.

Thanks!",Meeting / Scheduling
Follow-up: Tuesday meeting,Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.,Meeting / Scheduling
Rescheduling this week's sync,"Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.

Thoughts?",Meeting / Scheduling
Team alignment discussion,"Attaching a revised calendar invite for next week's meeting with legal and finance.

Talk soon.",Meeting / Scheduling
Calendar conflict,"Let's aim for a quick touch base before the end of day. Just 15 minutes to align.

Talk soon.",Meeting / Scheduling
Rescheduling this week's sync,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.

Thanks!",Meeting / Scheduling
Meeting moved,Let's aim for a quick touch base before the end of day. Just 15 minutes to align.,Meeting / Scheduling
Follow-up: Tuesday meeting,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.",Meeting / Scheduling
Calendar conflict,"Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.

Thanks!",Meeting / Scheduling
Meeting moved,"Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.

Talk soon.",Meeting / Scheduling
Calendar conflict,"Just confirming that our regular meeting is still happening on Friday. Please check your availability.

Thoughts?",Meeting / Scheduling
Calendar conflict,"Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.

Talk soon.",Meeting / Scheduling
Meeting moved,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.

Thanks!",Meeting / Scheduling
Calendar conflict,Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.,Meeting / Scheduling
Follow-up: Tuesday meeting,"Let's aim for a quick touch base before the end of day. Just 15 minutes to align.

Let me know if that works.",Meeting / Scheduling
Team alignment discussion,"Attaching a revised calendar invite for next week's meeting with legal and finance.

Thoughts?",Meeting / Scheduling
Calendar conflict,"Let's aim for a quick touch base before the end of day. Just 15 minutes to align.

Thanks!",Meeting / Scheduling
Follow-up: Tuesday meeting,"Just confirming that our regular meeting is still happening on Friday. Please check your availability.

Let me know if that works.",Meeting / Scheduling
Follow-up: Tuesday meeting,"Attaching a revised calendar invite for next week's meeting with legal and finance.

Talk soon.",Meeting / Scheduling
Meeting moved,"Just confirming that our regular meeting is still happening on Friday. Please check your availability.

Thoughts?",Meeting / Scheduling
Team alignment discussion,Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.,Meeting / Scheduling
Follow-up: Tuesday meeting,"Let's aim for a quick touch base before the end of day. Just 15 minutes to align.

Thoughts?",Meeting / Scheduling
Team alignment discussion,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.

Talk soon.",Meeting / Scheduling
Calendar conflict,"Just confirming that our regular meeting is still happening on Friday. Please check your availability.

Thanks!",Meeting / Scheduling
Rescheduling this week's sync,"Let's aim for a quick touch base before the end of day. Just 15 minutes to align.

Thoughts?",Meeting / Scheduling
Team alignment discussion,Attaching a revised calendar invite for next week's meeting with legal and finance.,Meeting / Scheduling
Meeting moved,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.",Meeting / Scheduling
Calendar conflict,Just confirming that our regular meeting is still happening on Friday. Please check your availability.,Meeting / Scheduling
Team alignment discussion,Let's aim for a quick touch base before the end of day. Just 15 minutes to align.,Meeting / Scheduling
Calendar conflict,"Due to scheduling conflicts, we'll need to shift tomorrow's call to later in the afternoon. I've proposed a few times on the calendar.",Meeting / Scheduling
Rescheduling this week's sync,Just confirming that our regular meeting is still happening on Friday. Please check your availability.,Meeting / Scheduling
Rescheduling this week's sync,"Let's aim for a quick touch base before the end of day. Just 15 minutes to align.

Talk soon.",Meeting / Scheduling
Follow-up: Tuesday meeting,"Attaching a revised calendar invite for next week's meeting with legal and finance.

Thanks!",Meeting / Scheduling
Rescheduling this week's sync,"Attaching a revised calendar invite for next week's meeting with legal and finance.

Let me know if that works.",Meeting / Scheduling
Calendar conflict,"Just confirming that our regular meeting is still happening on Friday. Please check your availability.

Let me know if that works.",Meeting / Scheduling
Follow-up: Tuesday meeting,"Circling back to see if Wednesday 2pm still works for the new product roadmap discussion.

Thoughts?",Meeting / Scheduling
